implementation,byte_value,time_ns,sample_id
Safe (PyCryptodome),6,2546.4,5
Vulnerable (Naive),6,92317.2,6
Safe (PyCryptodome),6,3755.6,6
Vulnerable (Naive),6,51977.2,7
Safe (PyCryptodome),6,3816.2,7
Vulnerable (Naive),6,39411.6,8
Safe (PyCryptodome),6,3788.4,8
Vulnerable (Naive),6,27571.0,9
Safe (PyCryptodome),6,2691.0,9
Vulnerable (Naive),6,24725.2,10
Safe (PyCryptodome),6,2951.0,10
Vulnerable (Naive),6,20726.0,11
Safe (PyCryptodome),6,3325.0,11
Vulnerable (Naive),6,22711.0,12
Safe (PyCryptodome),6,2941.8,12
Vulnerable (Naive),6,28510.8,13
Safe (PyCryptodome),6,2608.4,13
Vulnerable (Naive),6,21201.6,14
Safe (PyCryptodome),6,2602.4,14
Vulnerable (Naive),6,20443.4,15
Safe (PyCryptodome),6,2348.6,15
Vulnerable (Naive),6,29069.8,16
Safe (PyCryptodome),6,3789.8,16
Vulnerable (Naive),6,35202.8,17
Safe (PyCryptodome),6,2306.8,17
Vulnerable (Naive),6,19047.0,18
Safe (PyCryptodome),6,2261.6,18
Vulnerable (Naive),6,18564.2,19
Safe (PyCryptodome),6,2183.4,19
Vulnerable (Naive),6,25289.8,20
Safe (PyCryptodome),6,2082.4,20
Vulnerable (Naive),6,17485.0,21
Safe (PyCryptodome),6,2132.6,21
Vulnerable (Naive),6,17529.4,22
Safe (PyCryptodome),6,2174.4,22
Vulnerable (Naive),6,28561.8,23
Safe (PyCryptodome),6,2135.2,23
Vulnerable (Naive),6,14250.6,24
Safe (PyCryptodome),6,2144.0,24
Vulnerable (Naive),6,28771.6,25
Safe (PyCryptodome),6,2145.0,25
Vulnerable (Naive),6,21016.0,26
Safe (PyCryptodome),6,2110.6,26
Vulnerable (Naive),6,20588.4,27
Safe (PyCryptodome),6,2245.2,27
Vulnerable (Naive),6,27846.4,28
Safe (PyCryptodome),6,2548.4,28
Vulnerable (Naive),6,22539.4,29
Safe (PyCryptodome),6,2430.6,29
Vulnerable (Naive),6,38085.2,30
Safe (PyCryptodome),6,4353.6,30
Vulnerable (Naive),6,38029.0,31
Safe (PyCryptodome),6,3050.6,31
Vulnerable (Naive),6,17495.2,32
Safe (PyCryptodome),6,2216.0,32
Vulnerable (Naive),6,14371.0,33
Safe (PyCryptodome),6,2167.0,33
Vulnerable (Naive),6,14107.4,34
Safe (PyCryptodome),6,2145.2,34
Vulnerable (Naive),6,17396.4,35
Safe (PyCryptodome),6,2041.8,35
Vulnerable (Naive),6,16971.2,36
Safe (PyCryptodome),6,2134.6,36
Vulnerable (Naive),6,26601.8,37
Safe (PyCryptodome),6,2089.0,37
Vulnerable (Naive),6,34013.0,38
Safe (PyCryptodome),6,3621.4,38
Vulnerable (Naive),6,22798.4,39
